,\textit{Water},\textit{Trees},\textit{Grass},\textit{Flood.},\textit{Crops},\textit{Shrub},\textit{Built},\textit{Bare},\textit{Snow}
alphaearth,0.8988952841767752,0.7080900076292773,0.6356908303312879,0.3511430314103724,0.6759494287616156,0.5599830292031498,0.8134784097355364,0.9195262468125849,0.8615924769722888
tessera,0.8511314816376061,0.6586123823543276,0.6834552628852428,0.37106234353172923,0.6791870120426093,0.5621156983722615,0.721411811481101,0.9196895183791538,0.880827414570889
geoclip,0.042812459228926125,0.1610147392786801,0.25503365126923255,0.0730992000978923,0.2578165651855228,0.1872744294100878,0.19066737513450355,0.7712039375648146,0.8356467896124465
satclip,0.08222221814762497,0.20263142998816744,0.31530854859896323,0.1381808857323555,0.3202332778082163,0.23983123368543594,0.19177902016548942,0.7581545235192361,0.8049067127469977
alphaearth + tessera,0.9176500812636441,0.7511029777025412,0.739251084380059,0.4413379867271285,0.7561151317332373,0.6392718601673952,0.842596671552921,0.9374788071495237,0.8916275098025764
alphaearth + geoclip,0.8985212111561068,0.7038735402594256,0.6446282255051589,0.3454274766240825,0.6883290781732752,0.5639141797690427,0.8143736845157592,0.9215128658223343,0.8753652194523113
alphaearth + satclip,0.903270899641092,0.7200602775042025,0.6624030274420878,0.370857232089943,0.7036867228481751,0.5910456092474424,0.8196984122911539,0.9261465087879689,0.8795964542022892
tessera + geoclip,0.8461739679433163,0.652449806875317,0.6885523869635983,0.35582318387687195,0.6865537511947937,0.5661181851876205,0.7143869990730255,0.920841705663755,0.8892579790854647
tessera + satclip,0.8518358542656245,0.6675742229666652,0.7045018867141994,0.3842655370821445,0.7011837448012578,0.5869139945556349,0.7203546945069313,0.9237057759601882,0.8919103585472821
geoclip + satclip,0.06674509064452018,0.19177856498297993,0.32343632600133243,0.10782616581658615,0.31665145648816917,0.23603137640418764,0.19609790513133785,0.8319339072249402,0.8532956660617719
All GFMs,0.9137940383254856,0.7418127252319752,0.740226486554535,0.413823919008842,0.7596187991037875,0.6374771626817878,0.8366440871944187,0.937919074091333,0.9007109827591133
