Warning: 38228_tessera_y-2024.tif has shape (128, 128, 106), expected (128, 128, 128), skipping.
Warning: 12740_tessera_y-2024.tif has shape (128, 128, 121), expected (128, 128, 128), skipping.
Warning: 26850_tessera_y-2024.tif has shape (128, 108, 128), expected (128, 128, 128), skipping.
Warning: 35284_tessera_y-2024.tif has shape (128, 102, 128), expected (128, 128, 128), skipping.
Warning: 8136_tessera_y-2024.tif has shape (128, 128, 114), expected (128, 128, 128), skipping.
Warning: 47012_tessera_y-2024.tif has shape (128, 128, 98), expected (128, 128, 128), skipping.
Warning: 72398_tessera_y-2024.tif has shape (128, 125, 128), expected (128, 128, 128), skipping.
Warning: 55972_tessera_y-2024.tif has shape (128, 89, 128), expected (128, 128, 128), skipping.
Warning: 94652_tessera_y-2024.tif has shape (128, 128, 112), expected (128, 128, 128), skipping.
Warning: 99965_tessera_y-2024.tif has shape (128, 82, 128), expected (128, 128, 128), skipping.
Warning: 3356_tessera_y-2024.tif has shape (128, 116, 128), expected (128, 128, 128), skipping.
Warning: 56887_tessera_y-2024.tif has shape (128, 128, 84), expected (128, 128, 128), skipping.
Warning: 79524_tessera_y-2024.tif has shape (128, 128, 126), expected (128, 128, 128), skipping.
Warning: 11476_tessera_y-2024.tif has shape (128, 128, 105), expected (128, 128, 128), skipping.
Warning: 41119_tessera_y-2024.tif has shape (128, 128, 106), expected (128, 128, 128), skipping.
Warning: 44688_tessera_y-2024.tif has shape (128, 128, 125), expected (128, 128, 128), skipping.
Warning: 81895_tessera_y-2024.tif has shape (128, 128, 91), expected (128, 128, 128), skipping.
Warning: 49269_tessera_y-2024.tif has shape (128, 123, 128), expected (128, 128, 128), skipping.
Warning: 23338_tessera_y-2024.tif has shape (128, 94, 120), expected (128, 128, 128), skipping.
Warning: 6244_tessera_y-2024.tif has shape (128, 128, 113), expected (128, 128, 128), skipping.
Warning: 98576_tessera_y-2024.tif has shape (128, 128, 106), expected (128, 128, 128), skipping.
Warning: 53331_tessera_y-2024.tif has shape (128, 100, 128), expected (128, 128, 128), skipping.
Warning: 14175_tessera_y-2024.tif has shape (128, 128, 115), expected (128, 128, 128), skipping.
Error loading 7145_tessera_y-2024.tif: '/lustre/backup/SHARED/AIN/embed_interpret/data/tessera_2024/7145_tessera_y-2024.tif' not recognized as being in a supported file format.
Warning: 98021_tessera_y-2024.tif has shape (128, 128, 105), expected (128, 128, 128), skipping.
Warning: 55560_tessera_y-2024.tif has shape (128, 103, 128), expected (128, 128, 128), skipping.
Warning: 54716_tessera_y-2024.tif has shape (128, 94, 128), expected (128, 128, 128), skipping.
Warning: 8193_tessera_y-2024.tif has shape (128, 128, 114), expected (128, 128, 128), skipping.
Warning: 57492_tessera_y-2024.tif has shape (128, 128, 102), expected (128, 128, 128), skipping.
Warning: 5804_tessera_y-2024.tif has shape (128, 128, 104), expected (128, 128, 128), skipping.
Warning: 82790_tessera_y-2024.tif has shape (128, 121, 128), expected (128, 128, 128), skipping.
Warning: 27239_tessera_y-2024.tif has shape (128, 127, 128), expected (128, 128, 128), skipping.
Warning: 64676_tessera_y-2024.tif has shape (128, 128, 112), expected (128, 128, 128), skipping.
Warning: 7672_tessera_y-2024.tif has shape (128, 128, 111), expected (128, 128, 128), skipping.
Warning: 93534_tessera_y-2024.tif has shape (128, 106, 128), expected (128, 128, 128), skipping.
Warning: 94808_tessera_y-2024.tif has shape (128, 95, 128), expected (128, 128, 128), skipping.
Warning: 59234_tessera_y-2024.tif has shape (128, 128, 98), expected (128, 128, 128), skipping.
Warning: 38807_tessera_y-2024.tif has shape (128, 128, 100), expected (128, 128, 128), skipping.
Warning: 31370_tessera_y-2024.tif has shape (128, 89, 103), expected (128, 128, 128), skipping.
Warning: 55879_tessera_y-2024.tif has shape (128, 128, 96), expected (128, 128, 128), skipping.
Warning: 60890_tessera_y-2024.tif has shape (128, 128, 115), expected (128, 128, 128), skipping.
Warning: 67599_tessera_y-2024.tif has shape (128, 128, 127), expected (128, 128, 128), skipping.
Warning: 96913_tessera_y-2024.tif has shape (128, 101, 128), expected (128, 128, 128), skipping.
Warning: 18492_tessera_y-2024.tif has shape (128, 99, 128), expected (128, 128, 128), skipping.
Warning: 99669_tessera_y-2024.tif has shape (128, 128, 118), expected (128, 128, 128), skipping.
Warning: 78787_tessera_y-2024.tif has shape (128, 123, 128), expected (128, 128, 128), skipping.
Warning: 61674_tessera_y-2024.tif has shape (128, 110, 128), expected (128, 128, 128), skipping.
Warning: 31431_tessera_y-2024.tif has shape (128, 81, 128), expected (128, 128, 128), skipping.
Warning: 34960_tessera_y-2024.tif has shape (128, 128, 107), expected (128, 128, 128), skipping.
Warning: 16764_tessera_y-2024.tif has shape (128, 87, 128), expected (128, 128, 128), skipping.
Warning: 58507_tessera_y-2024.tif has shape (128, 103, 128), expected (128, 128, 128), skipping.
Warning: 70059_tessera_y-2024.tif has shape (128, 128, 120), expected (128, 128, 128), skipping.
Warning: 72980_tessera_y-2024.tif has shape (128, 128, 110), expected (128, 128, 128), skipping.
Warning: 76465_tessera_y-2024.tif has shape (128, 91, 128), expected (128, 128, 128), skipping.
Warning: 38965_tessera_y-2024.tif has shape (128, 109, 128), expected (128, 128, 128), skipping.
Warning: 16997_tessera_y-2024.tif has shape (128, 86, 128), expected (128, 128, 128), skipping.
Warning: 78105_tessera_y-2024.tif has shape (128, 114, 128), expected (128, 128, 128), skipping.
Warning: 41628_tessera_y-2024.tif has shape (128, 128, 84), expected (128, 128, 128), skipping.
Warning: 35075_tessera_y-2024.tif has shape (128, 128, 86), expected (128, 128, 128), skipping.
Warning: 3667_tessera_y-2024.tif has shape (128, 128, 113), expected (128, 128, 128), skipping.
Warning: 76497_tessera_y-2024.tif has shape (128, 128, 98), expected (128, 128, 128), skipping.
Warning: 97745_tessera_y-2024.tif has shape (128, 128, 112), expected (128, 128, 128), skipping.
Warning: 38991_tessera_y-2024.tif has shape (128, 128, 96), expected (128, 128, 128), skipping.
Warning: 80352_tessera_y-2024.tif has shape (128, 128, 102), expected (128, 128, 128), skipping.
Warning: 72334_tessera_y-2024.tif has shape (128, 128, 118), expected (128, 128, 128), skipping.
Warning: 4839_tessera_y-2024.tif has shape (128, 96, 128), expected (128, 128, 128), skipping.
Warning: 57839_tessera_y-2024.tif has shape (128, 98, 128), expected (128, 128, 128), skipping.
Warning: 21151_tessera_y-2024.tif has shape (128, 128, 86), expected (128, 128, 128), skipping.
Warning: 48713_tessera_y-2024.tif has shape (128, 128, 88), expected (128, 128, 128), skipping.
Warning: 85547_tessera_y-2024.tif has shape (128, 128, 127), expected (128, 128, 128), skipping.
Warning: 29299_tessera_y-2024.tif has shape (128, 128, 92), expected (128, 128, 128), skipping.
Warning: 15137_tessera_y-2024.tif has shape (128, 116, 128), expected (128, 128, 128), skipping.
Warning: 12256_tessera_y-2024.tif has shape (128, 128, 118), expected (128, 128, 128), skipping.
Warning: 3077_tessera_y-2024.tif has shape (128, 98, 128), expected (128, 128, 128), skipping.
Warning: 74809_tessera_y-2024.tif has shape (128, 83, 128), expected (128, 128, 128), skipping.
Warning: 31211_tessera_y-2024.tif has shape (128, 89, 128), expected (128, 128, 128), skipping.
Warning: 6464_tessera_y-2024.tif has shape (128, 128, 105), expected (128, 128, 128), skipping.
Warning: 28269_tessera_y-2024.tif has shape (128, 128, 122), expected (128, 128, 128), skipping.
Warning: 14765_tessera_y-2024.tif has shape (128, 113, 128), expected (128, 128, 128), skipping.
Warning: 69548_tessera_y-2024.tif has shape (128, 103, 128), expected (128, 128, 128), skipping.
Warning: 31245_tessera_y-2024.tif has shape (128, 126, 128), expected (128, 128, 128), skipping.
Warning: 9031_tessera_y-2024.tif has shape (128, 128, 113), expected (128, 128, 128), skipping.
Warning: 99808_tessera_y-2024.tif has shape (128, 128, 111), expected (128, 128, 128), skipping.
Warning: 1254_tessera_y-2024.tif has shape (128, 100, 128), expected (128, 128, 128), skipping.
Warning: 11729_tessera_y-2024.tif has shape (128, 121, 128), expected (128, 128, 128), skipping.
Warning: 56691_tessera_y-2024.tif has shape (128, 128, 114), expected (128, 128, 128), skipping.
Warning: 9607_tessera_y-2024.tif has shape (128, 128, 113), expected (128, 128, 128), skipping.
Warning: 94187_tessera_y-2024.tif has shape (128, 128, 105), expected (128, 128, 128), skipping.
Warning: 49314_tessera_y-2024.tif has shape (128, 96, 128), expected (128, 128, 128), skipping.
Warning: 9004_tessera_y-2024.tif has shape (128, 128, 89), expected (128, 128, 128), skipping.
Warning: 15978_tessera_y-2024.tif has shape (128, 128, 123), expected (128, 128, 128), skipping.
Warning: 49101_tessera_y-2024.tif has shape (128, 123, 128), expected (128, 128, 128), skipping.
Warning: 84412_tessera_y-2024.tif has shape (128, 128, 108), expected (128, 128, 128), skipping.
Warning: 13992_tessera_y-2024.tif has shape (128, 128, 116), expected (128, 128, 128), skipping.
Warning: 12172_tessera_y-2024.tif has shape (128, 119, 128), expected (128, 128, 128), skipping.
Warning: 39063_tessera_y-2024.tif has shape (128, 96, 128), expected (128, 128, 128), skipping.
Warning: 76167_tessera_y-2024.tif has shape (128, 128, 117), expected (128, 128, 128), skipping.
Warning: 11549_tessera_y-2024.tif has shape (128, 128, 85), expected (128, 128, 128), skipping.
Warning: 99706_tessera_y-2024.tif has shape (128, 128, 122), expected (128, 128, 128), skipping.
Warning: 91768_tessera_y-2024.tif has shape (128, 110, 128), expected (128, 128, 128), skipping.
Warning: 54187_tessera_y-2024.tif has shape (128, 128, 106), expected (128, 128, 128), skipping.
Warning: 24270_tessera_y-2024.tif has shape (128, 128, 86), expected (128, 128, 128), skipping.
Warning: 30251_tessera_y-2024.tif has shape (128, 123, 128), expected (128, 128, 128), skipping.
Warning: 86537_tessera_y-2024.tif has shape (128, 89, 128), expected (128, 128, 128), skipping.
Warning: 96455_tessera_y-2024.tif has shape (128, 128, 93), expected (128, 128, 128), skipping.
Warning: 85798_tessera_y-2024.tif has shape (128, 100, 128), expected (128, 128, 128), skipping.
Warning: 76204_tessera_y-2024.tif has shape (128, 89, 128), expected (128, 128, 128), skipping.
Warning: 87131_tessera_y-2024.tif has shape (128, 110, 128), expected (128, 128, 128), skipping.
Warning: 61545_tessera_y-2024.tif has shape (128, 128, 127), expected (128, 128, 128), skipping.
Warning: 99475_tessera_y-2024.tif has shape (128, 111, 128), expected (128, 128, 128), skipping.
Warning: 69083_tessera_y-2024.tif has shape (128, 128, 110), expected (128, 128, 128), skipping.
Warning: 6924_tessera_y-2024.tif has shape (128, 128, 120), expected (128, 128, 128), skipping.
Warning: 3153_tessera_y-2024.tif has shape (128, 128, 100), expected (128, 128, 128), skipping.
Warning: 23656_tessera_y-2024.tif has shape (128, 94, 128), expected (128, 128, 128), skipping.
Warning: 8998_tessera_y-2024.tif has shape (128, 128, 121), expected (128, 128, 128), skipping.
Warning: 31694_tessera_y-2024.tif has shape (128, 128, 119), expected (128, 128, 128), skipping.
Warning: 93905_tessera_y-2024.tif has shape (128, 106, 128), expected (128, 128, 128), skipping.
Warning: 37086_tessera_y-2024.tif has shape (128, 95, 128), expected (128, 128, 128), skipping.
Warning: 14302_tessera_y-2024.tif has shape (128, 128, 104), expected (128, 128, 128), skipping.
Warning: 48173_tessera_y-2024.tif has shape (128, 123, 128), expected (128, 128, 128), skipping.
Warning: 14805_tessera_y-2024.tif has shape (128, 128, 119), expected (128, 128, 128), skipping.
Warning: 67585_tessera_y-2024.tif has shape (128, 126, 128), expected (128, 128, 128), skipping.
Warning: 13787_tessera_y-2024.tif has shape (128, 128, 90), expected (128, 128, 128), skipping.
Warning: 70419_tessera_y-2024.tif has shape (128, 128, 125), expected (128, 128, 128), skipping.
Warning: 61235_tessera_y-2024.tif has shape (128, 95, 128), expected (128, 128, 128), skipping.
Warning: 35825_tessera_y-2024.tif has shape (128, 128, 112), expected (128, 128, 128), skipping.
Warning: 41334_tessera_y-2024.tif has shape (128, 87, 128), expected (128, 128, 128), skipping.
